record_id,scientific_name,family,genus,species,common_name,year,year_normalized,day_of_year,month,season,decade,latitude,longitude,location_grid,region,prefecture,temperature_avg,temperature_min,temperature_max,precipitation,deviation_from_baseline,trait,is_prediction
jcb_43370001_20240307,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,66.0,3.0,Spring,2020,32.3194836846484,131.02070153013,32.3_131.0,Kumamoto Prefecture,Kumamoto Prefecture,8.0,2.3,14.9,0.0,,first flowering (kaika),True
jcb_43370001_20240229,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,67.0,3.0,Spring,2020,32.3194836846484,131.02070153013,32.3_131.0,Kumamoto Prefecture,Kumamoto Prefecture,10.8,7.4,14.6,15.3,,first flowering (kaika),True
jcb_43370001_20240208,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,69.0,3.0,Spring,2020,32.3194836846484,131.02070153013,32.3_131.0,Kumamoto Prefecture,Kumamoto Prefecture,5.5,-0.1,14.0,0.0,,first flowering (kaika),True
jcb_43370008_20240229,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,71.0,3.0,Spring,2020,32.2108508213862,130.764067845186,32.2_130.8,Kumamoto Prefecture,Kumamoto Prefecture,10.8,7.4,14.6,15.3,,first flowering (kaika),True
jcb_43370001_20240201,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,72.0,3.0,Spring,2020,32.3194836846484,131.02070153013,32.3_131.0,Kumamoto Prefecture,Kumamoto Prefecture,11.8,10.1,12.9,16.0,,first flowering (kaika),True
jcb_43370008_20240208,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,72.0,3.0,Spring,2020,32.2108508213862,130.764067845186,32.2_130.8,Kumamoto Prefecture,Kumamoto Prefecture,5.5,-0.1,14.0,0.0,,first flowering (kaika),True
jcb_46370016_20240229,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,72.0,3.0,Spring,2020,31.8247447127514,130.340030838445,31.8_130.3,Kagoshima Prefecture,Kagoshima Prefecture,12.7,9.0,17.3,12.6,,first flowering (kaika),True
jcb_39370015_20240208,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,73.0,3.0,Spring,2020,33.161049488386,133.071282482369,33.2_133.1,Kochi Prefecture,Kochi Prefecture,,,,,,first flowering (kaika),True
jcb_46370004_20240229,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,73.0,3.0,Spring,2020,32.0493654756083,130.614167729455,32.0_130.6,Kagoshima Prefecture,Kagoshima Prefecture,10.8,7.4,14.6,15.3,,first flowering (kaika),True
jcb_46370005_20240229,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,73.0,3.0,Spring,2020,31.8575204642692,130.870005315064,31.9_130.9,Kagoshima Prefecture,Kagoshima Prefecture,11.5,8.5,15.0,18.1,,first flowering (kaika),True
jcb_46370016_20240307,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,73.0,3.0,Spring,2020,31.8247447127514,130.340030838445,31.8_130.3,Kagoshima Prefecture,Kagoshima Prefecture,10.4,7.2,14.3,0.0,,first flowering (kaika),True
jcb_39370015_20240201,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,74.0,3.0,Spring,2020,33.161049488386,133.071282482369,33.2_133.1,Kochi Prefecture,Kochi Prefecture,,,,,,first flowering (kaika),True
jcb_43370008_20240201,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,74.0,3.0,Spring,2020,32.2108508213862,130.764067845186,32.2_130.8,Kumamoto Prefecture,Kumamoto Prefecture,11.8,10.1,12.9,16.0,,first flowering (kaika),True
jcb_46370016_20240222,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,74.0,3.0,Spring,2020,31.8247447127514,130.340030838445,31.8_130.3,Kagoshima Prefecture,Kagoshima Prefecture,14.7,10.6,17.1,7.5,,first flowering (kaika),True
jcb_45370011_20240229,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,74.0,3.0,Spring,2020,32.7254659221143,131.34482591947,32.7_131.3,Miyazaki Prefecture,Miyazaki Prefecture,,,,,,first flowering (kaika),True
jcb_46370018_20240229,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,74.0,3.0,Spring,2020,31.8250107304573,130.686172079203,31.8_130.7,Kagoshima Prefecture,Kagoshima Prefecture,11.5,8.5,15.0,18.1,,first flowering (kaika),True
jcb_46370004_20240307,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,74.0,3.0,Spring,2020,32.0493654756083,130.614167729455,32.0_130.6,Kagoshima Prefecture,Kagoshima Prefecture,8.0,2.3,14.9,0.0,,first flowering (kaika),True
jcb_46370005_20240307,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,74.0,3.0,Spring,2020,31.8575204642692,130.870005315064,31.9_130.9,Kagoshima Prefecture,Kagoshima Prefecture,8.4,3.8,14.4,0.0,,first flowering (kaika),True
jcb_46370005_20240208,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,75.0,3.0,Spring,2020,31.8575204642692,130.870005315064,31.9_130.9,Kagoshima Prefecture,Kagoshima Prefecture,5.8,-1.0,12.0,0.0,,first flowering (kaika),True
jcb_46370016_20240208,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,75.0,3.0,Spring,2020,31.8247447127514,130.340030838445,31.8_130.3,Kagoshima Prefecture,Kagoshima Prefecture,8.6,3.7,12.9,0.0,,first flowering (kaika),True
jcb_46370018_20240208,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,75.0,3.0,Spring,2020,31.8250107304573,130.686172079203,31.8_130.7,Kagoshima Prefecture,Kagoshima Prefecture,5.8,-1.0,12.0,0.0,,first flowering (kaika),True
jcb_43370008_20240215,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,75.0,3.0,Spring,2020,32.2108508213862,130.764067845186,32.2_130.8,Kumamoto Prefecture,Kumamoto Prefecture,14.1,8.3,21.9,8.9,,first flowering (kaika),True
jcb_45370011_20240222,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,75.0,3.0,Spring,2020,32.7254659221143,131.34482591947,32.7_131.3,Miyazaki Prefecture,Miyazaki Prefecture,,,,,,first flowering (kaika),True
jcb_46370004_20240222,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,75.0,3.0,Spring,2020,32.0493654756083,130.614167729455,32.0_130.6,Kagoshima Prefecture,Kagoshima Prefecture,14.9,11.0,16.8,17.2,,first flowering (kaika),True
jcb_46370014_20240229,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,75.0,3.0,Spring,2020,31.8635094963633,130.851266595567,31.9_130.9,Kagoshima Prefecture,Kagoshima Prefecture,11.5,8.5,15.0,18.1,,first flowering (kaika),True
jcb_46370007_20240307,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,75.0,3.0,Spring,2020,31.1660740568117,130.849108885964,31.2_130.8,Kagoshima Prefecture,Kagoshima Prefecture,10.5,7.3,14.7,0.0,,first flowering (kaika),True
jcb_39370012_20240208,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,76.0,3.0,Spring,2020,32.996834569753,132.92912184955,33.0_132.9,Kochi Prefecture,Kochi Prefecture,8.1,2.0,14.0,0.0,,first flowering (kaika),True
jcb_45370011_20240208,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,76.0,3.0,Spring,2020,32.7254659221143,131.34482591947,32.7_131.3,Miyazaki Prefecture,Miyazaki Prefecture,,,,,,first flowering (kaika),True
jcb_46370004_20240208,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,76.0,3.0,Spring,2020,32.0493654756083,130.614167729455,32.0_130.6,Kagoshima Prefecture,Kagoshima Prefecture,5.5,-0.1,14.0,0.0,,first flowering (kaika),True
jcb_39370015_20240215,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,76.0,3.0,Spring,2020,33.161049488386,133.071282482369,33.2_133.1,Kochi Prefecture,Kochi Prefecture,,,,,,first flowering (kaika),True
jcb_46370014_20240222,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,76.0,3.0,Spring,2020,31.8635094963633,130.851266595567,31.9_130.9,Kagoshima Prefecture,Kagoshima Prefecture,15.5,13.5,17.6,29.1,,first flowering (kaika),True
jcb_46370007_20240229,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,76.0,3.0,Spring,2020,31.1660740568117,130.849108885964,31.2_130.8,Kagoshima Prefecture,Kagoshima Prefecture,13.3,8.6,18.2,21.4,,first flowering (kaika),True
jcb_30370006_20240201,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,77.0,3.0,Spring,2020,33.9142456640188,135.174523129926,33.9_135.2,Wakayama Prefecture,Wakayama Prefecture,11.0,6.2,14.0,0.3,,first flowering (kaika),True
jcb_39370012_20240201,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,77.0,3.0,Spring,2020,32.996834569753,132.92912184955,33.0_132.9,Kochi Prefecture,Kochi Prefecture,12.2,11.0,14.9,0.0,,first flowering (kaika),True
jcb_45370011_20240201,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,77.0,3.0,Spring,2020,32.7254659221143,131.34482591947,32.7_131.3,Miyazaki Prefecture,Miyazaki Prefecture,,,,,,first flowering (kaika),True
jcb_46370005_20240201,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,77.0,3.0,Spring,2020,31.8575204642692,130.870005315064,31.9_130.9,Kagoshima Prefecture,Kagoshima Prefecture,12.3,10.8,13.0,11.9,,first flowering (kaika),True
jcb_46370016_20240201,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,77.0,3.0,Spring,2020,31.8247447127514,130.340030838445,31.8_130.3,Kagoshima Prefecture,Kagoshima Prefecture,11.7,11.5,13.6,19.1,,first flowering (kaika),True
jcb_46370018_20240201,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,77.0,3.0,Spring,2020,31.8250107304573,130.686172079203,31.8_130.7,Kagoshima Prefecture,Kagoshima Prefecture,12.3,10.8,13.0,11.9,,first flowering (kaika),True
jcb_44370009_20240208,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,77.0,3.0,Spring,2020,33.3152755601684,130.928303355715,33.3_130.9,Oita Prefecture,Oita Prefecture,4.8,0.2,12.2,0.0,,first flowering (kaika),True
jcb_46370014_20240208,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,77.0,3.0,Spring,2020,31.8635094963633,130.851266595567,31.9_130.9,Kagoshima Prefecture,Kagoshima Prefecture,5.8,-1.0,12.0,0.0,,first flowering (kaika),True
jcb_46370007_20240222,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,77.0,3.0,Spring,2020,31.1660740568117,130.849108885964,31.2_130.8,Kagoshima Prefecture,Kagoshima Prefecture,16.7,14.5,21.0,19.2,,first flowering (kaika),True
jcb_30370001_20240229,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,77.0,3.0,Spring,2020,33.5976386452457,135.696454360755,33.6_135.7,Wakayama Prefecture,Wakayama Prefecture,11.7,7.5,17.1,31.3,,first flowering (kaika),True
jcb_43370010_20240229,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,77.0,3.0,Spring,2020,32.6582214855518,130.67906430696,32.7_130.7,Kumamoto Prefecture,Kumamoto Prefecture,10.3,8.8,11.9,16.8,,first flowering (kaika),True
jcb_45370002_20240229,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,77.0,3.0,Spring,2020,31.7497044498558,131.010468613647,31.7_131.0,Miyazaki Prefecture,Miyazaki Prefecture,12.1,8.2,16.5,22.3,,first flowering (kaika),True
jcb_45370013_20240229,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,77.0,3.0,Spring,2020,31.7128444775599,131.358841378426,31.7_131.4,Miyazaki Prefecture,Miyazaki Prefecture,13.8,10.5,18.2,25.7,,first flowering (kaika),True
jcb_46370006_20240229,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,77.0,3.0,Spring,2020,31.7410813815901,130.782007984301,31.7_130.8,Kagoshima Prefecture,Kagoshima Prefecture,11.5,8.5,15.0,18.1,,first flowering (kaika),True
jcb_46370019_20240229,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,77.0,3.0,Spring,2020,31.1964553099818,130.534393624225,31.2_130.5,Kagoshima Prefecture,Kagoshima Prefecture,14.0,10.5,18.3,20.7,,first flowering (kaika),True
jcb_29370032_20240201,Prunus × yedoensis,Rosaceae,Prunus,yedoensis,Japanese Cherry Blossom (Somei Yoshino),2024,0.9787234042553191,78.0,3.0,Spring,2020,34.0432955830622,135.960121944332,34.0_136.0,Nara Prefecture,Nara Prefecture,10.8,5.5,17.6,4.1,,first flowering (kaika),True
