dataSource,scientificName,trait,family,year,latitude,longitude,observedMetadataUrl,annotationMethod,occurrenceID,genus,recordedBy,coordinateUncertaintyInMeters,verbatimTrait,modelUri,annotationID,mappedTraits
herbarium-GBIF,Plantago lanceolata L.,flower present,Plantaginaceae,1954,58.0985,6.6926,https://www.gbif.org/occurrence/1701974884,machine,1701974884,Plantago,Anne-Marie Størmer,707,flowers,doi:10.5281/zenodo.17079402,8838883b-b1c4-5979-aebf-11639a2f1190,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago media L.,flower present,Plantaginaceae,1995,61.1551135,11.3539057,https://www.gbif.org/occurrence/1701982722,machine,1701982722,Plantago,Anders Often,71,flowers,doi:10.5281/zenodo.17079402,a0bcc514-b767-5572-8fc9-9d39a1bb9dd0,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago media L.,flower present,Plantaginaceae,1949,69.3704,29.6965,https://www.gbif.org/occurrence/1701983118,machine,1701983118,Plantago,Nils Hauge,1414,flowers,doi:10.5281/zenodo.17079402,f7d35a75-9d2a-52d9-beb7-2bb5f847541f,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago media L.,flower present,Plantaginaceae,1988,59.6473247,8.3865687,https://www.gbif.org/occurrence/1701985481,machine,1701985481,Plantago,Finn Wischmann,707,flowers,doi:10.5281/zenodo.17079402,bb2878a3-226b-5e8c-90c2-5cfb0258428b,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago lanceolata L.,flower present,Plantaginaceae,1979,59.2740362,11.0077672,https://www.gbif.org/occurrence/1701985788,machine,1701985788,Plantago,Odd E. Stabbetorp,707,flowers,doi:10.5281/zenodo.17079402,f125b112-305c-5bb8-9b6f-65c3fe4fc02d,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago major subsp. major,flower present,Plantaginaceae,1949,58.7595953,8.8517176,https://www.gbif.org/occurrence/1701991772,machine,1701991772,Plantago,H. Rui,707,flowers,doi:10.5281/zenodo.17079402,e2f60f13-d43d-532b-ada1-a043a3e8c062,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago maritima L.,flower present,Plantaginaceae,1942,58.5249,8.9348,https://www.gbif.org/occurrence/1701992032,machine,1701992032,Plantago,Nils Brusli,461,flowers,doi:10.5281/zenodo.17079402,9551502a-f83b-5eb3-b254-05e87878aa6e,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago maritima L.,flower present,Plantaginaceae,1851,58.425,8.8014,https://www.gbif.org/occurrence/1701992050,machine,1701992050,Plantago,Nic. Benj. Aall,783,flowers,doi:10.5281/zenodo.17079402,2fde2f61-8986-5eda-b47c-6eead997c7a3,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago lanceolata L.,flower present,Plantaginaceae,1932,58.2571,8.3755,https://www.gbif.org/occurrence/1701992078,machine,1701992078,Plantago,Georg Hoff,461,flowers,doi:10.5281/zenodo.17079402,435bc536-a6f9-5b05-ae31-0a38182cfb92,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago major subsp. major,flower present,Plantaginaceae,1974,61.6658,9.7026,https://www.gbif.org/occurrence/1701998554,machine,1701998554,Plantago,Karen Hygen,391,flowers,doi:10.5281/zenodo.17079402,becc29f7-d9fb-5877-b245-9d7c930c244f,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago media L.,flower present,Plantaginaceae,1988,60.3758569,8.7537508,https://www.gbif.org/occurrence/1702004109,machine,1702004109,Plantago,Finn Wischmann,707,flowers,doi:10.5281/zenodo.17079402,eebccf91-f403-5634-8b86-6e300d0e2830,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago maritima subsp. maritima,flower present,Plantaginaceae,2007,62.0349,4.9899,https://www.gbif.org/occurrence/1702036154,machine,1702036154,Plantago,Carolyn Parker;Heidi Solstad;Reidar Elven,335,flowers,doi:10.5281/zenodo.17079402,13685e49-dcd9-51ba-bfd0-cb50adae17e7,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
