city_name,latitude,longitude,elevation_m,currently_observed,bloom_years_available,earliest_year,latest_year,notes
Wakkanai,45.415,141.6739,7.0,True,66,1953,2025,Sargent cherry (Prunus sargentii)
Rumoi,43.941029,141.636817,25.0,False,53,1953,2025,Sargent cherry (Prunus sargentii)
Asahikawa,43.7706,142.365,113.0,True,73,1953,2025,Sargent cherry (Prunus sargentii)
Abashiri,44.0206,144.2736,9.0,True,68,1953,2025,Sargent cherry (Prunus sargentii)
Sapporo,43.0642,141.3469,25.0,True,72,1953,2025,
Iwamizawa,43.196064,141.77536,28.0,False,54,1953,2025,Sargent cherry (Prunus sargentii)
Obihiro,42.9236,143.1969,42.0,True,73,1953,2025,Sargent cherry (Prunus sargentii)
Kushiro,42.9849,144.382,3.0,True,54,1953,2025,Sargent cherry (Prunus sargentii)
Nemuro,43.330152,145.583388,28.0,False,50,1953,2025,Kurile Island Cherry (Cerasus nipponica var. kurilensis)
Muroran,42.315246,140.974073,7.0,True,73,1953,2025,
Urakawa,42.1685,142.768097,4.0,False,57,1953,2025,Sargent cherry (Prunus sargentii)
Esashi,41.869071,140.127224,4.0,False,54,1953,2025,
Hakodate,41.7687,140.7289,4.0,True,73,1953,2025,
Kutchan,42.901741,140.759082,177.0,False,53,1953,2025,"Until 1994 Sargent Cherry, from 1995 to 2006 they were Yoshino Cherry."
Monbetsu,44.356515,143.354522,19.0,False,52,1953,2025,Sargent cherry (Prunus sargentii)
Hiroo,42.285532,143.311616,37.0,False,41,1953,2025,Sargent cherry (Prunus sargentii)
Shinjo,38.764858,140.302145,102.0,False,40,1953,2025,
Aomori,40.8244,140.74,15.0,True,70,1953,2025,
Hachinohe,40.512239,141.488296,22.0,False,55,1953,2025,
Akita,39.7186,140.1025,11.0,True,73,1953,2025,
Morioka,39.7036,141.1527,138.0,True,73,1953,2025,
Miyako,39.639584,141.946118,8.0,False,55,1953,2025,
Sakata,38.914723,139.83641,13.0,False,57,1953,2025,
Yamagata,38.2404,140.3633,206.0,True,73,1953,2025,
Sendai,38.2682,140.8694,52.0,True,73,1953,2025,
Fukushima,37.75,140.4675,68.0,True,73,1953,2025,
Shirakawa,37.12634,140.210719,358.0,False,45,1953,2025,
Onahama,36.947989,140.785428,70.0,False,56,1953,2025,
Wajima,37.390938,136.89957,5.0,False,58,1953,2025,
Aikawa,35.532347,139.297795,144.0,False,55,1953,2025,
Niigata,37.9161,139.0364,9.0,True,73,1953,2025,
Kanazawa,36.5612,136.6562,28.0,True,73,1953,2025,
Toyama,36.6959,137.2137,14.0,True,73,1953,2025,
Nagano,36.6513,138.181,381.0,True,73,1953,2025,
Takada,34.516281,135.744694,65.0,False,55,1953,2025,
Utsunomiya,36.5658,139.8836,130.0,True,73,1953,2025,
Fukui,36.0651,136.2216,16.0,True,73,1953,2025,
Takayama,36.139625,137.251032,575.0,False,53,1953,2025,
Matsumoto,36.238205,137.968714,590.0,False,55,1953,2025,
Maebashi,36.3911,139.0608,115.0,True,73,1953,2025,
Kumagaya,36.1475,139.3883,33.0,True,73,1953,2025,
Mito,36.3414,140.4467,30.0,True,73,1953,2025,
Tsuruga,35.644514,136.073463,5.0,False,53,1953,2025,
Gifu,35.3912,136.7223,21.0,True,73,1953,2025,
Nagoya,35.1815,136.9066,17.0,True,73,1953,2025,
Iida,35.51471,137.821952,506.0,False,54,1953,2025,
Kofu,35.6635,138.5684,279.0,True,73,1953,2025,
Choshi,35.734534,140.827267,7.0,True,73,1953,2025,
Tsu,34.7303,136.5086,15.0,True,73,1953,2025,
Hamamatsu,34.710979,137.725943,18.0,False,53,1953,2025,
Shizuoka,34.9756,138.3828,34.0,True,73,1953,2025,
Tokyo,35.6762,139.6503,41.0,True,73,1953,2025,
Owase,34.070782,136.191139,23.0,False,55,1953,2025,
Yokohama,35.4437,139.638,8.0,True,73,1953,2025,
Tateyama,34.99653,139.869984,10.0,False,38,1953,2025,
